volcano_name,volcano_image,volcano_type,country,region,subregion,epoch_period,last_eruption,summit_m,elevation_ft,latitude,longitude,population_within_5km,population_within_10km,population_within_30km,population_within_100km
Agua,https://volcano.si.edu/gallery/photos/GVP-04638.jpg,Stratovolcano,Guatemala,México and Central America,Guatemala,holocene,Unknown - Evidence Credible,3760,12336,14.465°N,90.743°W,9890,114404,2530449,7441660
Agua de Pau,https://volcano.si.edu/gallery/photos/GVP-06110.jpg,Stratovolcano,Portugal,Atlantic Ocean,Azores,holocene,1564 CE,947,3107,37.77°N,25.47°W,406,17272,113131,119653
Aguilera,https://volcano.si.edu/gallery/photos/GVP-12662.jpg,Stratovolcano,Chile,South America,Southern Chile and Argentina,holocene,1250 BCE,2546,8353,50.33°S,73.75°W,0,0,103,5698
Agung,https://volcano.si.edu/gallery/photos/GVP-01738.jpg,Stratovolcano,Indonesia,Indonesia,Lesser Sunda Islands,holocene,2019 CE,2997,9833,8.343°S,115.508°E,5657,76781,968381,4550176
Ahyi,https://volcano.si.edu/gallery/photos/GVP-11697.jpg,Submarine,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,2014 CE,-75,-246,20.42°N,145.03°E,0,0,0,0
Aira,https://volcano.si.edu/gallery/photos/GVP-10567.jpg,Caldera,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,holocene,2022 CE,1117,3665,31.593°N,130.657°E,4918,113874,905254,2610033
Akademia Nauk,https://volcano.si.edu/gallery/photos/GVP-02346.jpg,Stratovolcano(es),Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,1996 CE,1180,3871,53.98°N,159.45°E,3,3,615,12484
Akagisan,https://volcano.si.edu/gallery/photos/GVP-02024.jpg,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,Unknown - Evidence Uncertain,1828,5997,36.56°N,139.193°E,961,4538,1116366,16718375
Akan,https://volcano.si.edu/gallery/photos/GVP-05610.jpg,Caldera,Japan,"Japan, Taiwan, Marianas",Hokkaido,holocene,2008 CE,1499,4918,43.384°N,144.013°E,2062,2062,9756,929538
Akandanayama,https://volcano.si.edu/gallery/photos/GVP-12610.jpg,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,Unknown - Evidence Credible,2109,6919,36.2°N,137.573°E,,,,
Akita-Komagatake,https://volcano.si.edu/gallery/photos/GVP-08922.jpg,Stratovolcano(es),Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1971 CE,1637,5371,39.761°N,140.799°E,376,3864,216708,2521611
Akita-Yakeyama,https://volcano.si.edu/gallery/photos/GVP-10502.jpg,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1997 CE,1366,4482,39.964°N,140.757°E,127,721,55493,3122037
Akusekijima,https://volcano.si.edu/gallery/photos/GVP-11795.jpg,Stratovolcano(es),Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,holocene,Unknown - Evidence Uncertain,555,1821,29.465°N,129.594°E,52,52,199,749
Akutan,https://volcano.si.edu/gallery/photos/GVP-04544.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,1992 CE,1303,4275,54.134°N,165.986°W,0,24,233,4361
Alaid,https://volcano.si.edu/gallery/photos/GVP-02280.jpg,Stratovolcano,Russia,Kuril Islands,Kuril Islands,holocene,2018 CE,2285,7497,50.861°N,155.565°E,0,64,64,2887
Alamagan,https://volcano.si.edu/gallery/photos/GVP-02138.jpg,Stratovolcano,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,870 CE,744,2441,17.6°N,145.83°E,0,0,0,0
Alayta,https://volcano.si.edu/gallery/photos/GVP-11181.jpg,Shield,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,1915 CE,1496,4908,12.888°N,40.573°E,156,925,13459,330411
Alcedo,https://volcano.si.edu/gallery/photos/GVP-04737.jpg,Shield,Ecuador,South America,Galapagos Islands,holocene,1993 CE,1130,3707,0.43°S,91.12°W,290,290,388,10756
Ale Bagu,https://volcano.si.edu/gallery/photos/GVP-11726.jpg,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,988,3241,13.512°N,40.631°E,2,919,8424,278270
Alid,https://volcano.si.edu/gallery/photos/GVP-05954.jpg,Stratovolcano,Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,904,2966,14.88°N,39.92°E,517,2447,25942,1216179
Aliso,https://volcano.si.edu/gallery/photos/GVP-12335.jpg,Stratovolcano,Ecuador,South America,Ecuador,holocene,2450 BCE,4267,13999,0.53°S,78°W,,,,
Alligator Lake,https://volcano.si.edu/gallery/photos/GVP-12320.jpg,Volcanic field,Canada,Canada and Western USA,Canada,holocene,Unknown - Evidence Credible,2217,7274,60.42°N,135.42°W,0,0,47,20636
Almolonga,https://volcano.si.edu/gallery/photos/GVP-03877.jpg,Stratovolcano,Guatemala,México and Central America,Guatemala,holocene,1818 CE,3173,10410,14.797°N,91.519°W,91323,287487,1126942,6828403
Alney-Chashakondzha,https://volcano.si.edu/gallery/photos/GVP-11773.jpg,Stratovolcano,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,1600 CE,2570,8432,56.656°N,159.647°E,0,0,3,10679
Alu-Dalafilla,https://volcano.si.edu/gallery/photos/GVP-09907.jpg,Fissure vent(s),Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,2008 CE,578,1896,13.793°N,40.553°E,0,9,11209,478054
Aluto,https://volcano.si.edu/gallery/photos/GVP-10426.jpg,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,50 BCE,2335,7661,7.77°N,38.78°E,6011,25619,314216,6813710
Amak,https://volcano.si.edu/gallery/photos/GVP-09559.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,1796 CE,488,1601,55.424°N,163.149°W,0,0,0,1345
Amasing,https://volcano.si.edu/gallery/photos/GVP-11708.jpg,Stratovolcano(es),Indonesia,Indonesia,Halmahera,holocene,Unknown - Evidence Credible,1030,3379,0.53°S,127.48°E,59,803,26015,92417
Ambae,https://volcano.si.edu/gallery/photos/GVP-11911.jpg,Shield,Vanuatu,Melanesia and Australia,Vanuatu,holocene,2022 CE,1496,4908,15.389°S,167.835°E,73,1279,4326,73308
Ambalatungan Group,https://volcano.si.edu/gallery/photos/GVP-12608.jpg,Compound,Philippines,Philippines and SE Asia,Luzon,holocene,Unknown - Unrest / Holocene,2329,7641,17.32°N,121.1°E,493,3803,55724,4652400
Ambang,https://volcano.si.edu/gallery/photos/GVP-04534.jpg,Complex,Indonesia,Indonesia,Sulawesi,holocene,2005 CE,1795,5889,0.75°N,124.42°E,9155,46469,319137,1730602
Ambitle,https://volcano.si.edu/gallery/photos/GVP-10768.jpg,Stratovolcano,Papua New Guinea,Melanesia and Australia,New Ireland,holocene,350 BCE,450,1476,4.08°S,153.65°E,1643,9195,9779,24367
Ambre-Bobaomby,https://volcano.si.edu/gallery/photos/GVP-12396.jpg,Volcanic field,Madagascar,Middle East and Indian Ocean,Indian Ocean (western),holocene,Unknown - Evidence Credible,1475,4839,12.6°S,49.15°E,20396,20396,51426,408436
Ambrym,https://volcano.si.edu/gallery/photos/GVP-11913.jpg,Pyroclastic shield,Vanuatu,Melanesia and Australia,Vanuatu,holocene,2022 CE,1334,4377,16.25°S,168.12°E,9,186,10826,63999
Amsterdam Island,https://volcano.si.edu/gallery/photos/GVP-11076.jpg,Stratovolcano,France,Middle East and Indian Ocean,Indian Ocean (southern),holocene,Unknown - Evidence Credible,881,2890,37.83°S,77.52°E,0,0,0,0
Amukta,https://volcano.si.edu/gallery/photos/GVP-08553.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,1997 CE,1066,3497,52.5°N,171.252°W,0,0,0,0
Anatahan,https://volcano.si.edu/gallery/photos/GVP-10882.jpg,Stratovolcano,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,2008 CE,790,2592,16.35°N,145.67°E,0,0,0,0
Andahua-Orcopampa,https://volcano.si.edu/gallery/photos/GVP-04763.jpg,Pyroclastic cone(s),Peru,South America,Peru,holocene,1490 CE,4713,15463,15.42°S,72.33°W,10317,10317,16541,171897
Andrus,https://volcano.si.edu/gallery/photos/GVP-06214.jpg,Shield(s),Antarctica,Antarctica,Antarctica and South Sandwich Islands,holocene,Unknown - Evidence Uncertain,2978,9770,75.8°S,132.33°W,0,0,0,0
Aneityum,https://volcano.si.edu/gallery/photos/GVP-11113.jpg,Stratovolcano(es),Vanuatu,Melanesia and Australia,Vanuatu,holocene,Unknown - Evidence Uncertain,852,2795,20.2°S,169.78°E,176,692,703,22731
Aniakchak,https://volcano.si.edu/gallery/photos/GVP-05339.jpg,Caldera,United States,Alaska,Alaska Peninsula,holocene,1931 CE,1341,4400,56.88°N,158.17°W,0,0,36,479
Ankaizina Field,https://volcano.si.edu/gallery/photos/GVP-12590.jpg,Pyroclastic cone(s),Madagascar,Middle East and Indian Ocean,Indian Ocean (western),holocene,Unknown - Evidence Credible,2878,9442,14.3°S,48.67°E,9628,9628,41916,637393
Antillanca Volcanic Complex,https://volcano.si.edu/gallery/photos/GVP-10261.jpg,Stratovolcano(es),Chile,South America,Central Chile and Argentina,holocene,230 BCE,1979,6493,40.783°S,72.15°W,87,521,5986,530586
Antisana,https://volcano.si.edu/gallery/photos/GVP-04437.jpg,Stratovolcano,Ecuador,South America,Ecuador,holocene,1802 CE,5753,18875,0.481°S,78.141°W,232,2220,56154,3314142
Antofagasta Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-09614.jpg,Pyroclastic cone(s),Argentina,South America,"Northern Chile, Bolivia and Argentina",holocene,Unknown - Evidence Uncertain,3495,11467,26.12°S,67.4°W,188,188,257,4295
Antuco,https://volcano.si.edu/gallery/photos/GVP-04853.jpg,Stratovolcano,Chile,South America,Central Chile and Argentina,holocene,1869 CE,2979,9774,37.406°S,71.349°W,117,474,3872,381623
Aogashima,https://volcano.si.edu/gallery/photos/GVP-03001.jpg,Stratovolcano,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,1785 CE,423,1388,32.458°N,139.759°E,232,232,232,8559
Apagado,https://volcano.si.edu/gallery/photos/GVP-12165.jpg,Pyroclastic cone,Chile,South America,Southern Chile and Argentina,holocene,590 BCE,1210,3970,41.88°S,72.58°W,5,44,4474,354002
Apaneca Range,https://volcano.si.edu/gallery/photos/GVP-07731.jpg,Stratovolcano(es),El Salvador,México and Central America,El Salvador and Honduras,holocene,Unknown - Evidence Credible,2028,6654,13.872°N,89.742°W,11141,151502,1113282,6215853
Apastepeque Field,https://volcano.si.edu/gallery/photos/GVP-07269.jpg,Volcanic field,El Salvador,México and Central America,El Salvador and Honduras,holocene,Unknown - Evidence Credible,700,2297,13.72°N,88.77°W,377730,377730,687849,6372608
Apo,https://volcano.si.edu/gallery/photos/GVP-11962.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Mindanao,holocene,Unknown - Unrest / Holocene,2938,9639,6.989°N,125.269°E,1355,5431,767800,7768291
Apoyeque,https://volcano.si.edu/gallery/photos/GVP-04174.jpg,Pyroclastic shield,Nicaragua,México and Central America,Nicaragua,holocene,50 BCE,518,1699,12.242°N,86.342°W,2369,116718,1342581,3445854
Aracar,https://volcano.si.edu/gallery/photos/GVP-12538.jpg,Stratovolcano,Argentina,South America,"Northern Chile, Bolivia and Argentina",holocene,Unknown - Evidence Credible,6095,19997,24.29°S,67.783°W,0,0,94,4803
Aragats,https://volcano.si.edu/gallery/photos/GVP-10141.jpg,Stratovolcano,Armenia,Mediterranean and Western Asia,Western Asia,holocene,Unknown - Evidence Credible,4095,13435,40.53°N,44.2°E,0,163,150143,3046562
"Aramuaca, Laguna",https://volcano.si.edu/gallery/photos/GVP-07726.jpg,Maar,El Salvador,México and Central America,El Salvador and Honduras,holocene,Unknown - Evidence Credible,181,594,13.428°N,88.105°W,15772,132109,699308,3009012
Ararat,https://volcano.si.edu/gallery/photos/GVP-12038.jpg,Stratovolcano,Turkey,Mediterranean and Western Asia,Turkey,holocene,1840 CE,5165,16946,39.7°N,44.3°E,25,1239,135563,2811646
Arayat,https://volcano.si.edu/gallery/photos/GVP-08955.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Luzon,holocene,Unknown - Evidence Uncertain,1026,3366,15.2°N,120.742°E,7846,190674,2805269,27216491
Ardoukoba,https://volcano.si.edu/gallery/photos/GVP-10404.jpg,Fissure vent(s),Djibouti,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,1978 CE,298,978,11.58°N,42.47°E,2895,2895,6898,560146
Arenal,https://volcano.si.edu/gallery/photos/GVP-08129.jpg,Stratovolcano,Costa Rica,México and Central America,Costa Rica,holocene,2010 CE,1670,5479,10.463°N,84.703°W,3429,15643,96512,3027485
"Arhab, Harra of",https://volcano.si.edu/gallery/photos/GVP-12582.jpg,Volcanic field,Yemen,Middle East and Indian Ocean,Middle East (southern),holocene,500 CE,3100,10171,15.63°N,44.08°E,284443,284443,820695,6517834
Arjuno-Welirang,https://volcano.si.edu/gallery/photos/GVP-04531.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,1952 CE,3343,10968,7.733°S,112.575°E,2584,53983,4143137,25385433
Arxan-Chaihe,https://volcano.si.edu/gallery/photos/GVP-12644.jpg,Pyroclastic cone(s),China,Kamchatka and Mainland Asia,China (eastern),holocene,0 CE,1677,5502,47.45°N,120.8°E,6435,6435,6435,188163
Asacha,https://volcano.si.edu/gallery/photos/GVP-05816.jpg,Complex,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,Unknown - Evidence Credible,1910,6266,52.355°N,157.827°E,0,0,34,238467
Asamayama,https://volcano.si.edu/gallery/photos/GVP-01465.jpg,Complex,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,2019 CE,2568,8425,36.406°N,138.523°E,583,22371,457576,7629353
Asavyo,https://volcano.si.edu/gallery/photos/GVP-11212.jpg,Shield,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,1338,4390,13.098°N,41.599°E,84,479,7697,47836
Ascension,https://volcano.si.edu/gallery/photos/GVP-11199.jpg,Stratovolcano,United Kingdom,Atlantic Ocean,Atlantic Ocean (central),holocene,1508 CE,858,2815,7.95°S,14.37°W,614,1149,1149,1149
Askja,https://volcano.si.edu/gallery/photos/GVP-06001.jpg,Stratovolcano,Iceland,Iceland and Arctic Ocean,Iceland (northeastern),holocene,1961 CE,1080,3543,65.033°N,16.783°W,0,0,0,13028
Asosan,https://volcano.si.edu/gallery/photos/GVP-01998.jpg,Caldera,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,holocene,2021 CE,1592,5223,32.884°N,131.104°E,75559,75559,234591,6507519
Assab Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-11176.jpg,Volcanic field,Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,987,3238,12.95°N,42.43°E,9,9,97,181952
Asuncion,https://volcano.si.edu/gallery/photos/GVP-09518.jpg,Stratovolcano,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,1906 CE,857,2812,19.671°N,145.406°E,0,0,0,0
Ata,https://volcano.si.edu/gallery/photos/GVP-01322.jpg,Caldera(s),Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,holocene,885 CE,924,3031,31.22°N,130.57°E,93134,93134,171590,1891380
Atacazo,https://volcano.si.edu/gallery/photos/GVP-04432.jpg,Stratovolcano,Ecuador,South America,Ecuador,holocene,320 BCE,4463,14642,0.353°S,78.617°W,449,212988,1837303,3769593
Atakor Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-11927.jpg,Pyroclastic cone(s),Algeria,Africa and Red Sea,Africa (northern),holocene,Unknown - Evidence Credible,2918,9573,23.33°N,5.83°E,0,0,0,116453
Atitlan,https://volcano.si.edu/gallery/photos/GVP-07853.jpg,Stratovolcano(es),Guatemala,México and Central America,Guatemala,holocene,1853 CE,3535,11598,14.583°N,91.186°W,2303,70431,664649,8029695
Atka Volcanic Complex,https://volcano.si.edu/gallery/photos/GVP-12046.jpg,Stratovolcano(es),United States,Alaska,Aleutian Islands,holocene,2007 CE,1518,4980,52.331°N,174.139°W,0,0,207,207
Atlin Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-09639.jpg,Pyroclastic cone(s),Canada,Canada and Western USA,Canada,holocene,Unknown - Evidence Credible,1880,6168,59.68°N,133.32°W,0,0,94,956
"Atlixcos, Los",https://volcano.si.edu/gallery/photos/GVP-10185.jpg,Shield,Mexico,México and Central America,Mexico,holocene,Unknown - Evidence Credible,775,2543,19.81°N,96.527°W,5792,13732,115456,2971490
"Atuel, Caldera del",https://volcano.si.edu/gallery/photos/GVP-11450.jpg,Caldera,Argentina,South America,Central Chile and Argentina,holocene,Unknown - Evidence Credible,5189,17024,34.65°S,70.05°W,297,297,1003,676916
Auckland Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-08806.jpg,Volcanic field,New Zealand,New Zealand to Fiji,New Zealand,holocene,1446 CE,260,853,36.89°S,174.81°E,1049110,1049110,1222436,1446768
Augustine,https://volcano.si.edu/gallery/photos/GVP-02665.jpg,Lava dome(s),United States,Alaska,Alaska (southwestern),holocene,2006 CE,1252,4108,59.363°N,153.43°W,0,0,0,759
"Auquihuato, Cerro",https://volcano.si.edu/gallery/photos/GVP-12337.jpg,Pyroclastic cone,Peru,South America,Peru,holocene,Unknown - Evidence Uncertain,4980,16339,15.07°S,73.18°W,213,1324,12228,173927
Avachinsky,https://volcano.si.edu/gallery/photos/GVP-02335.jpg,Stratovolcano,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,2001 CE,2717,8914,53.256°N,158.836°E,0,0,180016,270205
Awu,https://volcano.si.edu/gallery/photos/GVP-12023.jpg,Stratovolcano,Indonesia,Indonesia,Sangihe Islands,holocene,2004 CE,1318,4324,3.689°N,125.447°E,6409,22655,52725,58719
Axial Seamount,https://volcano.si.edu/gallery/photos/GVP-11887.jpg,Submarine,Undersea Features,Hawaii and Pacific Ocean,Pacific Ocean (northern),holocene,2015 CE,-1410,-4626,45.95°N,130°W,0,0,0,0
Ayelu,https://volcano.si.edu/gallery/photos/GVP-00143.jpg,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,2145,7037,10.082°N,40.702°E,193,1375,33262,1279214
Azas Plateau,https://volcano.si.edu/gallery/photos/GVP-06483.jpg,Volcanic field,Russia,Kamchatka and Mainland Asia,Russia (southeastern),holocene,Unknown - Evidence Credible,2765,9072,52.433°N,98.303°E,142,142,142,4532
Azufral,https://volcano.si.edu/gallery/photos/GVP-04391.jpg,Stratovolcano,Colombia,South America,Colombia,holocene,930 BCE,4070,13353,1.08°N,77.68°W,4334,40657,387292,1817609
"Azul, Cerro",https://volcano.si.edu/gallery/photos/GVP-09242.jpg,Shield,Ecuador,South America,Galapagos Islands,holocene,2008 CE,1640,5381,0.92°S,91.408°W,220,220,314,1936
"Azul, Cerro",https://volcano.si.edu/gallery/photos/GVP-06940.jpg,Stratovolcano,Chile,South America,Central Chile and Argentina,holocene,1967 CE,3788,12428,35.653°S,70.761°W,9,158,3832,720948
Azumayama,https://volcano.si.edu/gallery/photos/GVP-02056.jpg,Stratovolcano(es),Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1977 CE,1949,6394,37.735°N,140.244°E,128,907,548195,4877648
Babuyan Claro,https://volcano.si.edu/gallery/photos/GVP-11932.jpg,Stratovolcano(es),Philippines,Philippines and SE Asia,North of Luzon,holocene,1924 CE,1064,3491,19.524°N,121.95°E,208,222,222,11819
Bachelor,https://volcano.si.edu/gallery/photos/GVP-03125.jpg,Stratovolcano,United States,Canada and Western USA,USA (Oregon),holocene,5800 BCE,2763,9065,43.979°N,121.688°W,18,24,22514,231420
Bagana,https://volcano.si.edu/gallery/photos/GVP-00500.jpg,Lava cone,Papua New Guinea,Melanesia and Australia,Bougainville and Solomon Islands,holocene,2022 CE,1855,6086,6.137°S,155.196°E,198,404,7861,115257
Bakening,https://volcano.si.edu/gallery/photos/GVP-02340.jpg,Stratovolcano,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,550 BCE,2278,7474,53.905°N,158.07°E,0,10,1583,87139
Baker,https://volcano.si.edu/gallery/photos/GVP-02736.jpg,Stratovolcano(es),United States,Canada and Western USA,USA (Washington),holocene,1880 CE,3285,10778,48.777°N,121.813°W,0,46,8568,1990504
Balbi,https://volcano.si.edu/gallery/photos/GVP-00496.jpg,Stratovolcano,Papua New Guinea,Melanesia and Australia,Bougainville and Solomon Islands,holocene,Unknown - Evidence Credible,2715,8907,5.92°S,154.98°E,314,505,11904,127928
Balhaf-Bir Ali Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-11241.jpg,Volcanic field,Yemen,Middle East and Indian Ocean,Middle East (southern),holocene,Unknown - Evidence Credible,604,1982,14.067°N,48.3°E,5690,5690,6643,177124
Baluan,https://volcano.si.edu/gallery/photos/GVP-11524.jpg,Stratovolcano,Papua New Guinea,Melanesia and Australia,Admiralty Islands,holocene,Unknown - Evidence Uncertain,254,833,2.57°S,147.28°E,242,248,982,46898
Baluran,https://volcano.si.edu/gallery/photos/GVP-01168.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,Unknown - Evidence Uncertain,1247,4091,7.85°S,114.37°E,1313,59107,437688,5474053
Balut,https://volcano.si.edu/gallery/photos/GVP-11049.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Mindanao,holocene,Unknown - Unrest / Holocene,862,2828,5.4°N,125.375°E,1472,1901,10763,1286239
Bam,https://volcano.si.edu/gallery/photos/GVP-00436.jpg,Stratovolcano,Papua New Guinea,Melanesia and Australia,Northeast of New Guinea,holocene,1960 CE,685,2247,3.613°S,144.818°E,192,192,462,103203
Bamus,https://volcano.si.edu/gallery/photos/GVP-06090.jpg,Stratovolcano,Papua New Guinea,Melanesia and Australia,New Britain,holocene,1886 CE,2248,7375,5.2°S,151.23°E,50,630,19320,71997
Banahaw,https://volcano.si.edu/gallery/photos/GVP-01864.jpg,Complex,Philippines,Philippines and SE Asia,Luzon,holocene,Unknown - Evidence Credible,2158,7080,14.07°N,121.48°E,754,93134,1698285,23837289
Banda Api,https://volcano.si.edu/gallery/photos/GVP-00831.jpg,Caldera,Indonesia,Indonesia,Banda Sea,holocene,1988 CE,596,1955,4.523°S,129.881°E,5682,5682,5810,5810
Bandaisan,https://volcano.si.edu/gallery/photos/GVP-02045.jpg,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1888 CE,1816,5958,37.601°N,140.072°E,5923,17608,327454,4709782
Banua Wuhu,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Indonesia,Indonesia,Sangihe Islands,holocene,1919 CE,-5,-16,3.138°N,125.491°E,359,480,4586,69756
Barcena,https://volcano.si.edu/gallery/photos/GVP-03638.jpg,Pyroclastic cone(s),Mexico,México and Central America,Mexico,holocene,1953 CE,332,1089,19.3°N,110.82°W,0,0,0,0
Bardarbunga,https://volcano.si.edu/gallery/photos/GVP-05174.jpg,Stratovolcano,Iceland,Iceland and Arctic Ocean,Iceland (northeastern),holocene,2015 CE,2000,6562,64.633°N,17.516°W,0,0,0,1348
Barkhatnaya Sopka,https://volcano.si.edu/gallery/photos/GVP-10363.jpg,Lava dome(s),Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,3550 BCE,874,2867,52.802°N,158.24°E,0,208,13963,252873
Barren Island,https://volcano.si.edu/gallery/photos/GVP-01706.jpg,Stratovolcano,India,Indonesia,Andaman Islands,holocene,2022 CE,354,1161,12.278°N,93.858°E,645,645,645,5035
"Barrier, The",https://volcano.si.edu/gallery/photos/GVP-10042.jpg,Shield,Kenya,Africa and Red Sea,Africa (eastern),holocene,1921 CE,1032,3386,2.32°N,36.57°E,17,112,4180,109675
Baru,https://volcano.si.edu/gallery/photos/GVP-08375.jpg,Stratovolcano,Panama,México and Central America,Panama,holocene,1550 CE,3474,11398,8.808°N,82.543°W,118,6983,79933,756597
Barva,https://volcano.si.edu/gallery/photos/GVP-04286.jpg,Complex,Costa Rica,México and Central America,Costa Rica,holocene,6050 BCE,2906,9534,10.135°N,84.1°W,177,8018,2004665,3399329
Batur,https://volcano.si.edu/gallery/photos/GVP-01169.jpg,Caldera,Indonesia,Indonesia,Lesser Sunda Islands,holocene,2000 CE,1717,5633,8.242°S,115.375°E,466899,466899,937766,4289189
"Bayo Gorbea, Cerro",https://volcano.si.edu/gallery/photos/GVP-12353.jpg,Complex,Chile,South America,"Northern Chile, Bolivia and Argentina",holocene,Unknown - Evidence Credible,5413,17759,25.414°S,68.588°W,0,26,288,7824
Bayuda Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-10406.jpg,Pyroclastic cone(s),Sudan,Africa and Red Sea,Africa (northern),holocene,850 CE,670,2198,18.33°N,32.75°E,1124,1124,2752,259325
